Date,Open,High,Low,Close,Volume,Ticker
2024-10-01,184.89999389648438,186.19000244140625,183.4499969482422,185.1300048828125,36044900,AMZN
2024-10-02,184.44000244140625,186.60000610351562,184.0399932861328,184.75999450683594,23704100,AMZN
2024-10-03,183.0500030517578,183.44000244140625,180.8800048828125,181.9600067138672,30204300,AMZN
2024-10-04,185.75,187.60000610351562,183.60000610351562,186.50999450683594,40890300,AMZN
2024-10-07,182.9499969482422,183.60000610351562,180.25,180.8000030517578,42364200,AMZN
2024-10-08,181.9199981689453,183.08999633789062,180.9199981689453,182.72000122070312,26372100,AMZN
2024-10-09,182.82000732421875,185.85000610351562,182.0500030517578,185.1699981689453,26343100,AMZN
2024-10-10,187.1300048828125,188.1300048828125,185.8300018310547,186.64999389648438,27785000,AMZN
2024-10-11,186.6300048828125,189.92999267578125,186.3000030517578,188.82000732421875,25751600,AMZN
2024-10-14,189.77999877929688,189.8300018310547,187.36000061035156,187.5399932861328,22614400,AMZN
2024-10-15,187.6300048828125,188.41000366210938,184.5800018310547,187.69000244140625,32178900,AMZN
2024-10-16,187.0500030517578,187.77999877929688,185.61000061035156,186.88999938964844,23456800,AMZN
2024-10-17,188.22000122070312,188.94000244140625,186.0,187.52999877929688,25039400,AMZN
2024-10-18,187.14999389648438,190.74000549316406,186.27999877929688,188.99000549316406,37417700,AMZN
2024-10-21,188.0500030517578,189.4600067138672,186.39999389648438,189.07000732421875,24639400,AMZN
2024-10-22,188.35000610351562,191.52000427246094,186.97999572753906,189.6999969482422,29650600,AMZN
2024-10-23,188.85000610351562,189.16000366210938,183.69000244140625,184.7100067138672,31937100,AMZN
2024-10-24,185.25,187.11000061035156,183.86000061035156,186.3800048828125,21647400,AMZN
2024-10-25,187.85000610351562,190.4499969482422,187.52999877929688,187.8300018310547,29362100,AMZN
2024-10-28,189.57000732421875,190.2100067138672,188.2100067138672,188.38999938964844,27930800,AMZN
2024-10-29,188.5800018310547,191.4600067138672,187.82000732421875,190.8300018310547,35690200,AMZN
2024-10-30,194.6999969482422,195.61000061035156,192.4199981689453,192.72999572753906,37707600,AMZN
2024-10-31,190.50999450683594,190.60000610351562,185.22999572753906,186.39999389648438,75146800,AMZN
2024-11-01,199.0,200.5,197.02000427246094,197.92999267578125,99687800,AMZN
